t,Site,IMSI,TAC,SNR,SVN,GTPUPDLIP,GTPUPULIP,MCC,MNC,LAC,ULI,SAC,TicketType,APN,PATH,LocDomain,Volume,ActiveSecondsDlSum,ActiveSecondsUlSum,BYTESDownlinkSum,BYTESUplinkSum,BYTESRETRASMDownlinkSum,BYTESRETRASMUplinkSum,CXTBytesDLSum,CXTBytesULSum,CXTDurationSum,IfCXTDurationSum,TCPMSLatencyMsecSum,IfTCPMSLatencyMsecSum,TCPNWLatencyMsecSum,IfTCPNWLatencyMsecSum
1433528099,C_gngyserver_NET0,228032700085947,1284000,413199,22,10.8.3.5,213.55.204.143,228,3,8004,-1,36331,3219,unspec,https,0,2,9,8,24104,8306,1400,433,0,0,0,0,118,2,375,2
1433528099,C_gngyserver_NET0,228031890002521,35676506,340805,1,10.8.3.133,213.55.204.142,228,3,8006,-1,36015,3219,unspec,apple_push,0,1,1,2,121,250,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228032800833609,1334800,737555,11,10.42.68.68,10.8.31.141,-1,-1,-1,-1,-1,3219,unspec,https,1,2,12,12,12003,20027,0,0,0,0,0,0,19,1,117,1
1433528099,C_gngyserver_NET0,228036730075930,1275600,761639,22,10.8.3.132,213.55.204.142,228,3,6003,-1,33683,3219,unspec,apple_push,0,1,7,5,1650,738,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228033200047436,35368706,472580,1,10.8.3.132,213.55.204.146,228,3,6003,-1,33334,3219,unspec,https,0,5,65,75,121849,79794,0,2050,0,0,0,0,447,3,66,3
1433528099,C_gngyserver_NET0,228032800029016,35283606,706151,1,10.42.69.7,10.8.31.143,-1,-1,-1,-1,-1,3219,unspec,https,1,4,19,20,20224,18047,0,0,0,0,0,0,348,3,209,3
1433528099,C_gngyserver_NET0,228035840057234,35925406,753658,5,213.55.204.73,213.55.204.145,228,3,6003,-1,52349,3219,unspec,Unknown,0,1,0,0,0,0,0,0,4397,4708,161,1,0,0,0,0
1433528099,C_gngyserver_NET0,228032800137118,35695506,925596,5,10.67.65.5,10.8.31.141,-1,-1,-1,-1,-1,3219,unspec,http,1,4,40,41,79165,58701,1400,0,0,0,0,0,76,4,37,3
1433528099,C_gngyserver_NET0,228031730079892,35305805,980425,1,213.55.204.73,213.55.204.141,228,3,6006,-1,35125,3219,unspec,https,0,1,0,1,0,60,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228033760015070,35676506,696338,1,10.67.11.183,10.8.31.140,-1,-1,-1,-1,-1,3219,unspec,imap,1,1,2,2,2604,1165,0,0,0,0,0,0,24,1,13,1
1433528099,C_gngyserver_NET0,228032780005094,35929005,556642,3,10.67.16.13,10.8.31.142,-1,-1,-1,-1,-1,3219,unspec,dns,1,1,1,1,268,70,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228032770006635,35763405,789566,1,10.77.1.5,10.8.31.165,-1,-1,-1,-1,-1,3219,unspec,facebook_dns,1,1,8,8,45224,10944,0,0,0,0,0,0,39,1,89,1
1433528099,C_gngyserver_NET0,228032800135390,35601006,132190,1,10.67.6.2,10.8.31.140,-1,-1,-1,-1,-1,3219,unspec,android_market,1,1,2,2,698,253,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228035730067877,1363300,332709,10,10.8.3.132,213.55.204.143,228,3,6003,-1,33309,3219,unspec,https,0,1,1,0,40,0,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228034750016488,35274506,345827,1,10.77.7.136,10.8.31.164,-1,-1,-1,-1,-1,3219,unspec,imap,1,1,3,4,2507,907,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228031760104512,1320600,674487,18,213.55.204.69,213.55.204.141,228,3,6003,-1,12504,3219,unspec,udp,0,1,16,16,7275,9609,1434,58,0,0,0,0,377,1,163,1
1433528099,C_gngyserver_NET0,228036750052435,35488606,743340,1,10.42.74.227,10.8.31.164,-1,-1,-1,-1,-1,3219,unspec,Unknown,1,1,0,0,0,0,0,0,760663,436426,10303,1,0,0,0,0
1433528099,C_gngyserver_NET0,228034750043507,1320500,550652,15,10.8.3.6,213.55.204.146,228,3,6006,-1,35062,3219,unspec,https,0,2,66,69,10030529,328349,34557,1434,16329886,602158,5961,1,193,2,226,2
1433528099,C_gngyserver_NET0,228032800338099,35779805,749406,1,10.8.3.133,213.55.204.143,228,3,8004,-1,56489,3219,unspec,pop3s,0,1,9,9,6996,3347,0,0,0,0,0,0,432,1,14,1
1433528099,C_gngyserver_NET0,228031870012540,35725405,397342,49,10.67.29.132,10.8.31.164,-1,-1,-1,-1,-1,3219,unspec,https,1,4,11,9,9413,2431,0,254,0,0,0,0,398,1,44,1
1433528099,C_gngyserver_NET0,228032800063935,35388806,999973,68,10.77.1.147,10.8.31.143,-1,-1,-1,-1,-1,3219,unspec,https,1,1,1,1,218,116,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228035730090260,35836506,70583,3,10.67.64.9,10.8.31.165,-1,-1,-1,-1,-1,3219,unspec,imap,1,1,12,12,64515,20842,0,0,0,0,0,0,13,1,36,1
1433528099,C_gngyserver_NET0,228032800462204,35601006,172404,1,10.67.64.200,10.8.31.143,-1,-1,-1,-1,-1,3219,unspec,apple_push,1,1,1,1,217,278,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228035760051467,35365206,410504,4,10.67.29.131,10.8.31.142,-1,-1,-1,-1,-1,3219,unspec,https,1,2,2,2,346,362,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228032800208683,35695806,716088,5,10.67.64.71,10.8.31.140,-1,-1,-1,-1,-1,3219,unspec,apple_push,1,1,1,1,288,284,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228031700080311,1353600,457550,18,10.8.3.133,213.55.204.143,228,3,8004,-1,39255,3219,unspec,dns,0,1,1,1,444,177,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228032800802227,35198706,818783,10,10.8.3.6,213.55.204.145,228,3,6001,-1,51504,3219,unspec,facebook_dns,0,2,5,10,9415,6993,0,422,0,0,0,0,545,1,34,1
1433528099,C_gngyserver_NET0,228032800151088,35589806,907101,2,10.67.64.5,10.8.31.143,-1,-1,-1,-1,-1,3219,unspec,apple_push,1,1,2,2,267,358,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228031740069411,35695206,960918,5,10.67.8.131,10.8.31.140,-1,-1,-1,-1,-1,3219,unspec,apple_push,1,2,2,2,267,342,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228035860042647,35207506,913590,5,10.67.29.131,10.8.31.164,-1,-1,-1,-1,-1,3219,unspec,apple_push,1,1,1,1,40,316,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228035850060061,35204806,183308,10,10.67.29.197,10.8.31.164,-1,-1,-1,-1,-1,3219,unspec,apple_push,1,1,2,2,206,210,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228036780041281,35928706,14261,5,10.8.3.6,213.55.204.144,228,3,6001,-1,31051,3219,unspec,dns,0,1,2,3,3456,2754,0,0,0,0,0,0,109,1,121,1
1433528099,C_gngyserver_NET0,228034720066102,35601006,65317,1,10.42.74.181,10.8.31.165,-1,-1,-1,-1,-1,3219,unspec,stun,1,1,59,60,162978,217705,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228032800070340,1300600,166355,16,213.55.204.70,213.55.204.141,228,3,6001,-1,11732,3219,unspec,https,0,2,40,33,19472,24134,2016,1452,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228036710068071,35586605,723015,1,10.42.188.55,10.8.31.140,-1,-1,-1,-1,-1,3219,unspec,https,1,1,1,1,752,1830,0,0,0,0,0,0,24,1,24,1
1433528099,C_gngyserver_NET0,228032800593914,35763405,226762,1,10.42.64.31,10.8.31.143,-1,-1,-1,-1,-1,3219,unspec,https,1,3,11,27,20173,11581,0,0,0,0,0,0,55,2,43,2
1433528099,C_gngyserver_NET0,228034750026815,35274506,812432,1,10.67.9.125,10.8.31.143,-1,-1,-1,-1,-1,3219,unspec,android_market,1,1,3,3,976,1510,0,0,0,0,0,0,25,1,28,1
1433528099,C_gngyserver_NET0,228036730039325,35954405,849396,1,10.77.0.164,10.8.31.165,-1,-1,-1,-1,-1,3219,unspec,facebook_dns,1,1,32,33,1002949,118097,0,0,0,0,0,0,32,1,66,1
1433528099,C_gngyserver_NET0,228032800209108,35695506,296919,5,10.67.28.1,10.8.31.143,-1,-1,-1,-1,-1,3219,unspec,https,1,1,3,3,1950,1072,1120,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228035840075037,35437906,939068,5,10.67.65.5,10.8.31.142,-1,-1,-1,-1,-1,3219,unspec,dns,1,1,5,5,29016,13027,1400,0,0,0,0,0,51,1,117,1
1433528099,C_gngyserver_NET0,228036730098978,35198806,293268,10,10.77.7.10,10.8.31.140,-1,-1,-1,-1,-1,3219,unspec,https,1,1,2,3,9900,2642,0,0,0,0,0,0,12,1,179,1
1433528099,C_gngyserver_NET0,228036750073441,35374806,735582,1,10.67.64.125,10.8.31.142,-1,-1,-1,-1,-1,3219,unspec,apple_push,1,1,1,1,121,278,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228033740014761,35562605,167927,1,10.8.3.5,213.55.204.146,228,3,8004,-1,38709,3219,unspec,https,0,3,3,4,399,411,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228033740025145,1319400,898736,12,10.8.3.5,213.55.204.144,228,3,8004,-1,38535,3219,unspec,xmpp_client,0,1,2,2,206,270,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228032800737877,35374906,823362,1,213.55.204.72,213.55.204.141,228,3,6001,-1,31752,3219,unspec,http,0,4,7,65,1675,6160,0,0,1675,6160,123,2,0,0,0,0
1433528099,C_gngyserver_NET0,228036760074063,35597205,139829,10,10.8.3.4,213.55.204.143,228,3,6003,-1,33202,3219,unspec,https,0,9,82,47,116590,63844,0,569,0,0,0,0,208,5,354,5
1433528099,C_gngyserver_NET0,228031740085509,35694605,244291,1,10.87.4.102,10.8.31.142,-1,-1,-1,-1,-1,3219,unspec,xmpp_client,1,1,1,3,218,638,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228032800200459,35698506,246101,5,10.67.64.71,10.8.31.164,-1,-1,-1,-1,-1,3219,unspec,tcp,1,4,6,5,1074,832,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228032770014561,35397505,343382,1,213.55.204.73,213.55.204.141,228,3,6006,-1,55184,3219,unspec,https,0,9,7,236,1262,22381,0,0,22845,149784,11289,1,0,0,0,0
1433528099,C_gngyserver_NET0,228035740054514,35868805,66989,10,10.77.3.142,10.8.31.142,-1,-1,-1,-1,-1,3219,unspec,facebook_dns,1,1,6,11,15870,9208,0,0,0,0,0,0,13,1,25,1
1433528099,C_gngyserver_NET0,228035750092858,35443806,797164,5,10.8.3.132,213.55.204.145,228,3,6003,-1,34581,3219,unspec,https,0,4,53,49,8265941,495448,0,17958,0,0,0,0,103,2,161,2
1433528099,C_gngyserver_NET0,228035800062301,35830206,17219,1,10.67.25.3,10.8.31.165,-1,-1,-1,-1,-1,3219,unspec,apple_push,1,3,4,3,550,519,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228035880026045,35911804,710940,1,109.24.54.179,213.55.204.144,208,10,49302,-1,35715,3219,unspec,http,0,1,12,12,34572,9284,0,0,0,0,0,0,167,1,13,1
1433528099,C_gngyserver_NET0,228035720082589,35663305,217407,1,10.8.3.134,213.55.204.146,228,3,6001,-1,31571,3219,unspec,pop3s,0,1,8,7,7094,3057,0,0,0,0,0,0,201,1,101,1
